district,mandal,village,avg_price,max_price,min_price,records
MEDCHAL-MALKAJGIRI,BALANAGAR,BEGUMPET PAIGAH,35568.57142857143,71500.0,32200.0,35
MEDCHAL-MALKAJGIRI,BALANAGAR,BALANAGAR,29194.68085106383,44900.0,20300.0,94
MEDCHAL-MALKAJGIRI,BALANAGAR,BOBBUGUDA,25537.931034482757,32200.0,23000.0,29
MEDCHAL-MALKAJGIRI,ALWAL,ALWAL (M),11034.45945945946,26700.0,9200.0,296
MEDCHAL-MALKAJGIRI,BACHUPALLY,NIZAMPET,21000.0,21000.0,21000.0,25
MEDCHAL-MALKAJGIRI,GHATKESAR,ANNOJIGUDA,5823.809523809524,14700.0,4200.0,21
MEDCHAL-MALKAJGIRI,BACHUPALLY,BACHPALLE,12600.0,12600.0,12600.0,34
RANGAREDDY,BALAPUR,BADANGPET,5733.333333333333,10500.0,5300.0,60
MEDCHAL-MALKAJGIRI,ALWAL,DAMMAIGUDA,10200.0,10200.0,10200.0,13
SANGAREDDY,AMEENPUR,AMEENAPUR,10200.0,10200.0,10200.0,27
RANGAREDDY,AMANGAL,AMANGAL,3612.9032258064517,9800.0,1800.0,31
MEDCHAL-MALKAJGIRI,ALWAL,AKBARJHA,9200.0,9200.0,9200.0,5
RANGAREDDY,BALAPUR,BALAPUR,4550.0,8400.0,4200.0,48
RANGAREDDY,ABDULLAPURMET,ABDULLAPUR,3037.5,7100.0,2100.0,32
MEDCHAL-MALKAJGIRI,DUNDIGAL GANDIMAISAMMA,BAHADURPALLE,7000.0,7000.0,7000.0,5
MEDCHAL-MALKAJGIRI,GHATKESAR,AUSHAPUR,3957.1428571428573,6300.0,3000.0,14
RANGAREDDY,BALAPUR,ALMASGUDA,5300.0,5300.0,5300.0,37
SANGAREDDY,AMEENPUR,KRISHTAREDDIPET,5300.0,5300.0,5300.0,30
MEDCHAL-MALKAJGIRI,GHATKESAR,ANKUSHAPUR,2537.5,4200.0,2300.0,8
MEDCHAL-MALKAJGIRI,DUNDIGAL GANDIMAISAMMA,DOMMARA POCHAMPALLE,3400.0,3400.0,3400.0,6
